taskInfos_1,taskInfos_2,taskInfos_3,taskInfos_4,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,score_26,score_27,score_28,score_29,score_30,score_31,score_32
"12","Guanosine triphosphate synthesis (GTP)","NUCLEOTIDE METABOLISM","IMP SYNTHESIS / PURINE METABOLISM",2.37024246104119,2.59745423744898,2.73309448632875,2.95831007851443,2.06271105180124,2.7063615196589,2.45952415562587,2.54761852219469,2.694622160758,2.99381841893826,2.37818337145651,1.75823554527852,2.17562852565653,1.8331111134462,2.05638726853573,3.11764244947545,3.00360517150761,1.72306979072136,2.60905671187438,2.24523516361862,2.86077055390366,2.00260792968833,1.64028595801968,2.42431436430683,2.37752632704095,2.67031378436032,2.45753902215359,2.35694868967207,3.2198207104998,2.62096866744036,3.35507601101475,2.60991367537036
"13","Uridine triphosphate synthesis (UTP)","NUCLEOTIDE METABOLISM","UMP SYNTHESIS",1.96370298088382,1.91941446798898,2.10303043581371,2.35110831905181,1.40322663886953,2.10238618691526,1.97472007276868,1.90003363707274,2.13700755831013,2.29213371975191,1.90855509492271,1.40410510307796,1.73212573695873,2.05541689766461,1.76969810440549,2.26580714280321,2.26767072106011,1.20615731372894,1.85351547975184,1.75060657054369,2.08625631629691,1.5474090740131,1.03900061302004,1.79482937311797,1.89438775097833,2.05094139653542,2.07781894840483,1.93030453936625,2.72577033967173,2.01637519842729,2.41392584034777,1.9264471999629
"14","Deoxyadenosine triphosphate synthesis (dATP)","NUCLEOTIDE METABOLISM","DEOXYNUCLEOTIDES SYNTHESIS",1.96803729697624,2.2258316284353,2.37252930860516,2.48976160306898,1.80556851337388,2.28666682632932,2.11310612712237,2.11448144729732,2.24347345487138,2.44783099598363,1.98617866046903,1.74290353176745,1.94475636510978,1.64533895192254,1.76086466033737,2.72310180843004,2.34230751367167,1.28930448789314,2.21882269615351,1.91895583127195,2.44421648552487,1.63694233271857,2.10747805121757,1.93564227124489,2.03712972978155,2.25213753558686,2.14317234097701,1.99926438454573,2.92214001232939,2.34495852249902,2.903780193503,2.21745229060422
"15","Deoxycytidine triphosphate synthesis (dCTP)","NUCLEOTIDE METABOLISM","DEOXYNUCLEOTIDES SYNTHESIS",1.82144321687389,1.82576540192258,1.97572122228013,2.20909757663351,1.34094477283074,1.99568469754328,1.90642533099103,1.86574218733531,2.00400329700681,2.18583609492819,1.81244404886517,1.31944922613671,1.63527007337346,2.04344288765429,1.6848876209391,2.11798063283954,2.17597267584203,1.12903816451419,1.73647312209624,1.7135331259559,2.00364435310352,1.6087706546637,0.985420690718829,1.72111289525358,1.81617078893756,2.03829698590024,1.91831030421584,1.83079897884681,2.53903685001322,1.91102982533482,2.27535178159792,1.82758899640556
"16","Deoxyguanosine triphosphate synthesis (dGTP)","NUCLEOTIDE METABOLISM","DEOXYNUCLEOTIDES SYNTHESIS",2.26640917344988,2.51516082488324,2.61707065322358,2.83376882598921,1.99785898501956,2.59250429122723,2.37142278319664,2.43620358449233,2.58183865812763,2.88108477042131,2.29223603448977,1.70245179309641,2.11312725017432,1.77277953271505,1.99416227924935,2.98665707287685,2.86866308888513,1.64526783567817,2.4977244557078,2.16889255098979,2.73997319804171,1.92373783619859,1.59133358030045,2.32828392807619,2.27553730080792,2.5542903982643,2.36538601833248,2.25580583779057,3.07798910289156,2.55682953308282,3.216398479969,2.51607674990214
"17","Deoxyuridine triphosphate synthesis (dUTP)","NUCLEOTIDE METABOLISM","DEOXYNUCLEOTIDES SYNTHESIS",1.85236122943922,1.85489256919866,1.99033626170782,2.22553343298235,1.36072284402274,1.99084157118929,1.88957184838685,1.79465271247773,2.02380386163283,2.18860116834174,1.82526719740263,1.35333546298184,1.67835755556231,1.96015440440851,1.70584406296566,2.14794899444989,2.13681024092663,1.13688220547084,1.75544188700457,1.68179165991025,1.97682745765477,1.47259553973847,1.01381646572771,1.70875445755637,1.7906116210718,1.93753504092906,1.98026294822661,1.82389034687797,2.56959822091595,1.97116258388478,2.29176581033124,1.84689573103244
"18","Deoxythymidine triphosphate synthesis (dTTP)","NUCLEOTIDE METABOLISM","DEOXYNUCLEOTIDES SYNTHESIS",1.69573929249492,1.67357049077805,2.05976625196892,2.47908757221567,1.33386749394904,2.07080924361322,1.84601327795986,1.6894303251899,1.94550981951,2.01783421694371,1.68329778014056,1.22298011052986,1.61351440520537,1.82646081183811,1.58786943915494,2.30957851329071,1.89404934566366,1.0159281161958,1.84010883288269,1.5798530932508,2.06002089379788,1.31946530871635,0.907786251441944,1.68295257161834,1.79816842564668,1.87972320805411,1.87524050564558,1.78019363243471,2.6058626559916,1.78220844004358,2.43342771292834,1.83073342521831
"19","AMP salvage from adenine","NUCLEOTIDE METABOLISM","SALVAGE",2.31502675171585,2.74465065713455,3.00787622299891,3.04711438403208,1.18484677423472,2.93724786812966,2.6911804434456,1.90338304544992,2.95362482648217,2.88033276418981,1.94294780983448,1.54988401963212,2.69492704241998,2.16918311070806,2.40044125212381,3.24757041659393,2.01087920831288,2.66493661618274,1.97695694680662,2.83195910105194,2.34020089788781,3.23559747559362,1.22519323896963,3.40750640470581,2.53238518430533,1.8506250707045,2.94106804912206,3.00467971340455,1.61255837193359,2.12479505322724,3.11628299217312,2.33897971335029
"20","IMP salvage from hypoxanthine","NUCLEOTIDE METABOLISM","SALVAGE",1.16559834039676,2.08693224847592,1.93192488748373,2.33190343650109,2.82062537896907,1.90084794485454,1.51087335341579,1.20841045292466,1.42508685351973,1.51568901250859,1.32044387100245,1.53661874060646,2.03871803347016,1.79101775944673,1.07705761469927,2.10530361086796,1.35910028544936,1.31571726429496,1.16499598914049,1.3596115317098,1.83068446350292,0.823437547570183,0.602990752763004,1.07465887865831,1.79317576211377,1.32218065382092,1.35734318404083,2.0149832234934,3.6846915278809,1.66150830358394,2.18225273405367,1.70691481818033
"21","GMP salvage from guanine","NUCLEOTIDE METABOLISM","SALVAGE",1.16559834039676,2.08693224847592,1.93192488748373,2.33190343650109,2.82062537896907,1.90084794485454,1.51087335341579,1.20841045292466,1.42508685351973,1.51568901250859,1.32044387100245,1.53661874060646,2.03871803347016,1.79101775944673,1.07705761469927,2.10530361086796,1.35910028544936,1.31571726429496,1.16499598914049,1.3596115317098,1.83068446350292,0.823437547570183,0.602990752763004,1.07465887865831,1.79317576211377,1.32218065382092,1.35734318404083,2.0149832234934,3.6846915278809,1.66150830358394,2.18225273405367,1.70691481818033
"22","3'-Phospho-5'-adenylyl sulfate synthesis","NUCLEOTIDE METABOLISM","COFACTOR",0.974672554128866,2.18313424427822,0.933598503814176,0.560826645220424,1.22806556704471,1.73824281908325,0.867254497790989,1.24662929233919,1.00726143512005,1.33718558177383,0.838140858149077,0.454635363099348,0.85065538829911,1.14356520564135,1.64529360804436,0.946395461581017,0.976079508265643,0.690658161689848,1.28276106331275,1.05720572178397,1.63733662411741,1.21356881527278,0.125443682721382,1.09914577148965,1.45520549451987,0.922302515216181,0.564832845983507,1.33024763244028,0.64255303864001,0.670063433076772,1.26006990365117,1.07668738591776
"23","Degradation of adenine to urate","NUCLEOTIDE METABOLISM","PURINE CATABOLISM",0.669419768496125,0.685543755286436,0.985495253792256,0.974151757493412,0.374397987808556,1.0309841425957,1.55102669507475,1.63258030859788,1.02516494759561,0.767106261561203,0.815877768756053,0.455011944934176,0.841508310144787,1.79107538738279,0.669378672014295,0.868125601037859,0.535876403203038,0.65454361082861,0.676400710594652,0.761182115228888,0.963903142348719,0.898390993552133,0.368293018138232,0.822773611100175,1.24277005167463,1.58828399237839,0.735792246439772,0.881346572771591,0.624896718957088,0.678338705062387,0.964884107911799,0.786139917316693
"24","Degradation of guanine to urate","NUCLEOTIDE METABOLISM","PURINE CATABOLISM",0.0374792782853682,0.51328014261887,0.429795358487248,0.00772346534848643,4.52451874703273,1.91884298967071,5.95622050868711,0.781833273092696,0.232571834777556,1.54260038291248,2.57765887756628,0.00336454624728179,3.33100393819621,3.5291125522613,0.0477528841821239,0.0205700098519252,0.00293669051519728,0.307896169425054,1.15811948538897,0.0767846476492963,1.88063845371611,0.1253067582641,0.14693627538445,0.304933648514107,6.06261127729021,0.130485867326187,0.0162803658439189,0.758855314887265,0.337520868788541,0.0234811053562312,0.879611559633191,1.30213940715228
"25","Degradation of cytosine","NUCLEOTIDE METABOLISM","PYRIMIDINE CATABOLISM",2.45766832867574,1.91078902497808,2.61917683639704,0.900350184930771,3.70861318716769,1.71938952492253,1.75847646049093,2.91304963680333,2.78788860304447,2.33420669519747,3.0990181702512,1.88545902692331,4.33405624527316,5.94275336740661,3.20165982557722,1.55774031753862,3.12838153718504,0.569970582366464,1.52186239251873,2.6286447243889,1.92470359947756,1.12777707714797,1.35698629073443,0.997522621664994,1.75112666531801,4.141094475724,2.06104405795627,1.01104061253273,1.63670601997678,1.22703773008243,1.72512866153058,3.03051443879338
"26","Degradation of uracil","NUCLEOTIDE METABOLISM","PYRIMIDINE CATABOLISM",2.45766832867574,1.91078902497808,2.61917683639704,0.900350184930771,3.70861318716769,1.71938952492253,1.75847646049093,2.91304963680333,2.78788860304447,2.33420669519747,3.0990181702512,1.88545902692331,4.33405624527316,5.94275336740661,3.20165982557722,1.55774031753862,3.12838153718504,0.569970582366464,1.52186239251873,2.6286447243889,1.92470359947756,1.12777707714797,1.35698629073443,0.997522621664994,1.75112666531801,4.141094475724,2.06104405795627,1.01104061253273,1.63670601997678,1.22703773008243,1.72512866153058,3.03051443879338
"27","Gluconeogenesis from pyruvate","CARBOHYDRATES METABOLISM","GLUCONEOGENESIS",5.1824195253345,5.03769502280899,5.04213365903029,5.24911009004341,5.10740525924483,5.25294310949544,6.27610671358174,3.72167471354815,5.84561346944013,4.54604376478168,4.93463745337171,5.85527065469059,6.52222338997316,6.12661392267561,4.32690203685164,4.72770385699329,3.70508743633327,3.30684926144499,4.68811324810056,4.23531215869521,5.37582505266069,4.66193770187937,8.10452811695718,4.25229591142887,5.71991054323959,4.71307600131192,4.05004210121744,4.34417885544241,5.18824068959759,4.52760253087596,5.42815435011637,4.96896605828267
"28","Gluconeogenesis from Lactate","CARBOHYDRATES METABOLISM","GLUCONEOGENESIS",5.31288561108153,5.16786279772433,5.16234808054724,5.36863267501935,5.23662998542067,5.36347593162327,6.39913955920631,3.83232923675365,5.96757366188508,4.65787965714487,5.04113568166572,6.03353244113558,6.6934571899728,6.25156569204381,4.42441664019991,4.85600178523539,3.8372867582776,3.39516839797676,4.79771908401694,4.33698094398414,5.4876543900418,4.74197213409659,8.24096113002071,4.36548414195368,5.85001864863309,4.82367673496931,4.13833837404634,4.43620548286846,5.47190012711639,4.64875432981723,5.56060262241497,5.0976903715456
"29","Gluconeogenesis from Glycerol","CARBOHYDRATES METABOLISM","GLUCONEOGENESIS",3.94682929850757,3.48306367019639,3.28775598259659,3.15409739215394,3.26087217200371,3.55460516347266,4.98493038542661,2.19453337651717,3.5738786779176,2.95918729296579,3.71382014593739,3.70213268788578,5.31787500005303,5.00226494515791,3.01455911527656,2.72405125303226,2.1596350608044,2.50152838358382,2.62104329472225,2.69214436383066,3.5915523373478,2.88468029006182,6.07346676837815,2.45419430757974,4.84412630950983,2.9014256475532,2.42983090006285,3.00879038677804,3.35555155329894,2.89181716195144,3.1975102685287,3.30703921328917
"30","Gluconeogenesis from Alanine","CARBOHYDRATES METABOLISM","GLUCONEOGENESIS",5.03183297276195,4.76317915398244,4.79493856982953,4.93133597884771,4.8980192572849,5.11271639474727,6.06077737915492,3.50528159591563,5.66565596692857,4.3020280653672,4.70244088749497,5.60578925476616,6.31791367155581,6.03123778852668,4.05545191010596,4.4529469563931,3.4737307315912,3.40752278738431,4.39739809317596,4.11034389663289,5.14596237841095,4.52205995967478,7.82074644690294,4.14177282147253,5.54906895530663,4.42516828776454,3.79897415392715,4.2262603446036,4.94335879481467,4.27961234410605,5.14935749858706,4.66681953597582
"31","Gluconeogenesis from Glutamine","CARBOHYDRATES METABOLISM","GLUCONEOGENESIS",2.79532602704321,3.82759443050592,2.55896855509353,2.06435690630626,3.33305442276152,3.15571326296572,3.94063914046384,2.41549669202908,2.42813487491906,2.51437243186989,2.73019868454927,4.59277447682309,4.7261993427425,4.83520893188765,2.5405173365763,2.74995350056519,2.46518600931035,2.17012938202593,2.2004488189099,2.66885889150912,3.0844964857859,2.057975508784,3.20467766640419,2.02856391901905,3.75914475614721,2.70783831299453,2.49614235170884,2.79157891624411,2.69483138311325,2.40654127651741,2.67248620112716,2.88265566198931
"32","Ethanol to acetaldehyde","CARBOHYDRATES METABOLISM","GLYCOLYSIS/GLUCONEOGENESIS",3.73029731530717,1.82992400610422,0.406268098484133,0.666410094280935,0.535021046311323,1.70045119326682,1.5983862256484,0.624034184082557,2.69730203223563,1.88207827027598,1.96538081610932,1.57590495667783,0.670117514194657,4.44173714106616,2.27995665292645,0.373449993313306,0.593840559335808,0.47824559330156,1.25803522905621,0.588013051580443,1.77371702277629,0.996260104055845,0.979715523516668,0.652299055986458,1.26186624633803,0.622331769735414,1.32711922357192,1.10714285134543,0.403231110697232,0.484163993665727,1.40552440873272,1.46241254538871
"33","Glucose to lactate conversion","CARBOHYDRATES METABOLISM","PYRUVATE METABOLISM",5.77914928611626,6.32884124669674,6.40244877844755,6.85255968317441,6.60953961730803,6.27734615310587,6.74988107104349,5.03548092151985,7.15856300315067,5.83606281700846,6.09721205611293,8.11031395344695,6.87924570769773,5.44456251187108,5.27296238603099,6.16678314544886,5.17575116005889,3.37246879431647,5.99179317039159,5.46637736618018,6.63347035043063,5.52160405179226,10.2378890136447,5.79474313488662,6.39010084555072,6.2798386501837,5.10899145940116,5.27635486598767,6.67145570552605,5.53369390501225,7.00129051243631,6.27236409202298
"34","Malate to pyruvate conversion","CARBOHYDRATES METABOLISM","PYRUVATE METABOLISM",2.61567801983511,3.69390971124309,2.21325829657123,1.62527219652161,3.0881192327535,2.51758319781761,2.59121441519442,2.83321668180178,1.33459098547943,2.65088523717101,3.16966548632133,4.77924607597875,2.26944532460518,0.926940042615645,2.48250045922829,2.24732929834628,2.32867681169284,1.89214891428375,1.15154393557643,3.00319814457609,2.59252130850172,1.4419910378252,1.62188681916517,0.999788150410846,2.43322108625002,3.36251836369108,2.5158193313574,4.13589544486631,3.66894166543414,1.22948611426163,2.10978373695262,3.46366930810834
"35","Synthesis of fructose-6-phosphate from erythrose-4-phosphate (HMP shunt)","CARBOHYDRATES METABOLISM","PENTOSE PHOSPHATE PATHWAY",4.5980304190111,3.18605173961287,3.34144772249098,7.04917597387528,2.75677861341029,3.10408606812485,3.65211791485872,2.36291040347139,4.26454476805844,3.28285374180612,4.22383532031223,1.60999461860719,2.67883475252073,1.89079714105475,4.0426539634945,3.40853567013743,3.84228953754529,3.56960670097645,3.35731657519238,2.38154843508461,2.83461409428785,2.40220236482396,0.410569651196939,2.32672753243811,2.97659979838266,2.91437469522738,4.1287279240825,2.88486842356347,8.45264216134635,4.57105111887081,3.52006370315914,3.94126596442957
"36","Synthesis of ribose-5-phosphate","CARBOHYDRATES METABOLISM","PENTOSE PHOSPHATE PATHWAY",2.79267317198569,2.3930531248361,2.66277737678504,4.27963736163759,1.48637613248204,2.82414233314415,3.17961329651457,2.15156344272683,3.47621124305959,2.97886867151348,2.88689149981212,1.55709367068965,1.85902205150427,1.61836089166661,2.39830784483833,2.88108659868141,2.69747094156376,1.43520800569907,2.77350453448512,2.05759834329099,2.72556122395673,2.19733734994617,1.0826659805711,2.23774779671476,3.01643394917909,2.55669725424218,2.75553509310582,2.71216594508959,2.45799474888149,2.51346898244219,3.29392815612812,2.65289161659457
"37","Synthesis of lactose","CARBOHYDRATES METABOLISM","GALACTOSE METABOLISM",0.206228870401452,2.32861091771311,3.0608217346302,1.37674711037214,0.232841181529141,3.98198535383424,2.41610505599056,3.35782620024911,4.39009242450504,3.41072490836803,3.33754072475086,0.207046120373179,3.12985514102973,2.50261068132732,2.74891590358468,1.60669680860245,2.98715380540688,0.152221742142813,2.75041390839655,0.181833360105485,3.13280317262605,4.14263749572405,0.224092608518323,0.178789748207585,2.54353049393437,4.98779775897254,1.85747664675087,3.27241980163218,4.12444469447957,2.8543577752004,2.34290281781722,4.7151422544143
"38","Glycogen biosynthesis","CARBOHYDRATES METABOLISM","GLYCOGEN METABOLISM",7.32372750693006,3.17732217873105,2.15194506405174,3.67280551313191,1.60926384042678,1.90757577295982,1.53997143502068,2.61999964413717,2.8762565078202,2.24846329216996,2.05070355715425,4.26086528052425,2.35983913783449,3.61022179144772,1.88110247261704,1.60295313424088,2.21840878713174,1.29059039796746,2.22915219010052,2.33634962173577,1.99397388189948,1.65678921895958,4.90620402786206,1.25013119770428,1.48549359421305,3.15137769243153,1.763255478479,1.40488997361903,3.16600025726035,2.13421120599985,1.82593359496493,2.81736314547595
"39","Glycogen degradation","CARBOHYDRATES METABOLISM","GLYCOGEN METABOLISM",3.01437322248613,1.2415151857785,1.54116031750648,2.84073473237142,1.92057272159825,2.7927749313813,1.2188304763992,1.31562362731331,2.85722064355016,1.50291801676994,1.69725381381514,3.19774559179777,1.41718577694598,2.92228825020215,1.47386333475434,1.08200663916317,1.11704422069135,0.604848837830761,2.17908316077357,2.67989172619927,2.32670857733634,2.52763086692392,8.35658470709615,1.7964836461453,1.08635552221494,2.08558135908417,1.58673609220863,1.90402416055758,1.29864692644797,1.98795846832434,1.09772182950257,2.27614566286396
"40","Fructose degradation (to glucose-3-phosphate)","CARBOHYDRATES METABOLISM","FRUCTOSE METABOLISM",7.20390342949647,9.52199960244159,8.79565097569422,7.69978362133592,9.17777934263514,9.75789078638078,9.86229140339641,6.70620691026412,9.43403691171448,7.85402497682627,7.6090398423584,10.1483410084162,9.97241735242438,8.32930796050111,6.79000918393908,7.90910624034674,5.87030267546893,3.87899075233382,8.55929375947292,7.01224231396557,10.2997333069929,6.31485901492919,15.2499431914305,7.08797556585612,9.73115962890619,8.43393868137734,6.64341478528413,7.68543742497102,6.61131781098684,6.79481442978644,10.2145196176397,7.90418515861399
"41","Fructose to glucose conversion (via fructose-6-phosphate)","CARBOHYDRATES METABOLISM","FRUCTOSE METABOLISM",3.16676593950846,3.0519353789402,2.44439685496152,3.2547002958651,2.82597320776707,2.74339444463338,3.97474078748438,1.95412280255622,2.7116341850756,2.76179766130308,2.96002870373663,3.44458494736448,3.62310238327661,3.89829933693695,2.10530142508382,2.30876063421234,2.21541512199565,2.72088391442634,2.17037189715118,2.43232556589754,2.86850833767378,2.29922984799295,3.33517374299538,2.16923924739858,3.75249488471849,2.64149214902864,2.16556860191191,2.30124594805827,2.32259077037447,2.52830506277114,2.57692046572438,2.69081220950699
"42","UDP-glucose synthesis","CARBOHYDRATES METABOLISM","NUCLEOTIDE SUGAR",5.07834900781173,3.07415136141031,2.891410468428,1.82578754234824,2.62721443226823,4.29457063513764,3.78325088578143,2.35841199959213,3.4405393479258,2.54402465156353,2.82448671392603,4.78511660718581,3.23339746074026,6.25086897081083,2.86634000392193,2.74281225849311,2.80978375054126,2.14956931637222,3.40715829521384,2.90792081551315,4.19469160516935,2.62089382022208,5.69235667972943,2.15191575373542,3.72971194432919,2.932234798581,2.14846578123025,2.56379003003961,2.12794687892479,2.49248741420933,2.9040687801599,3.04049727976521
"43","UDP-galactose synthesis","CARBOHYDRATES METABOLISM","NUCLEOTIDE SUGAR",2.30694896882071,3.28315624698203,2.7666594419476,1.52474864212958,1.55870100769845,2.62582703303645,3.94369038502865,2.52798262656395,2.53647677628766,3.453117007766,2.6095766122825,3.19688005719455,4.20575392939417,4.40584420510869,2.76874981020539,3.05062880492838,2.55726543101503,2.32490610245579,2.4829535450476,2.49285212452845,3.0762612029415,3.37619957870078,1.49006125170346,3.20786009934969,3.65050579396248,2.90646984596985,3.21321296572018,2.45911639063693,2.24077864751028,3.41775509580328,2.75879389525979,2.61641246106429
"44","UDP-glucuronate synthesis","CARBOHYDRATES METABOLISM","NUCLEOTIDE SUGAR",4.86373495333033,3.10428963885631,3.0079047808616,1.4438673325775,2.27737037482776,4.98741835114236,3.88692976034088,2.64100132654589,3.49434020342432,2.88418319656164,3.23953583302851,3.90647180715399,3.44863575504253,6.29951715113645,2.75635911693832,2.48141037699259,2.92369529687002,2.07734756198542,3.55525324505955,3.22871196732349,4.74165674495477,2.36635138219788,4.42326379481988,1.95788284983192,3.81902745223457,2.94745365595365,1.97142939284471,3.08131455251158,1.87550460908561,2.63389444264987,2.69629142059884,3.29338508162489
"45","GDP-L-fucose synthesis","CARBOHYDRATES METABOLISM","FUCOSE METABOLISM",2.7422777020094,3.50473182891906,3.90373080167684,1.79293804594217,3.36143979130987,4.0654281726224,4.30046224899288,3.55988269944246,3.07919889845958,4.05228058764122,3.75578811044814,8.63310305832395,4.31067389395719,2.43684517909142,3.60855226709903,3.36781947652618,3.91939633451759,2.24561573694506,3.00895292996531,3.54902032300192,3.9909251938749,3.28353891093092,2.28580454419658,3.94107086294558,4.3911030582592,3.10392985474411,4.08541277507003,3.68305542577848,3.25927569790782,4.56267800255227,3.23322496093416,3.34638853453517
